layer,fuzzy_string,rename,format,yearStart,yearEnd,aggregation,total_bands,bands,description,source
population,(?<!dense_)population.tif$,population_density,raster,2026,2026,annual (current year),1,,"Population density. Number of persons per 10,000 m² (current-year band)",WorldPop Global2 (R2025A)
worldpop_2000_2020,worldpop_2000_2020.tif$,population_annual_2000_2020,raster,2000,2020,yearly bands,21,pop_2000 … pop_2020,"Annual population per 1 km grid cell, 2000–2020 (UN-adjusted)","WorldPop Global (2000–2020, 1 km, UN-adjusted)"
worldpop_2015_2030,worldpop_2015_2030.tif$,population_annual_2015_2030,raster,2015,2030,yearly bands,16,pop_2015 … pop_2030,"Annual population per 100 m grid cell, 2015–2030 (includes projection)","WorldPop Global2 (R2025A, 100 m constrained)"
rwi_standardized,rwi(?=.shp$|.gpkg$|$),relative_wealth,vector,,,,,"standardized, relative",Relative wealth. Standard deviations of estimated household wealth from the national mean (standardized and relative views),Meta Data for Good
gdp_total,gdp_total.tif$,gdp_total,raster,2020,2020,annual,1,,"Total GDP. Gross Domestic Product (PPP, million USD)","Kummu et al. (2025), 30 arc-sec gridded GDP"
gdp_per_capita,gdp_per_capita.tif$,gdp_per_capita,raster,2022,2022,annual,1,,"GDP per capita. Gross Domestic Product per capita (PPP, USD)","Kummu et al. (2025), downscaled gridded GDP per capita"
gdp_agriculture,gdp_agriculture.tif$,gdp_agriculture,raster,2020,2020,annual,1,,"Agriculture GDP. Sectoral GDP (thousand USD, nominal)","Chen et al. (2025), SectGDP30 v2"
gdp_industry,gdp_industry.tif$,gdp_industry,raster,2020,2020,annual,1,,"Industry GDP. Sectoral GDP (thousand USD, nominal)","Chen et al. (2025), SectGDP30 v2"
gdp_service,gdp_service.tif$,gdp_service,raster,2015,2015,annual,1,,"Service GDP. Sectoral GDP (thousand USD, nominal)","Chen et al. (2025), SectGDP30 v2"
gdp_combined,gdp_combined.tif$,gdp_combined,raster,2015,2020,annual,1,,"Total sectoral GDP. Combined agricultural, industrial and service sectoral GDPs (thousand USD, nominal). Sectors use the most recent year available (2020 where present, otherwise 2015)","Chen et al. (2025), SectGDP30 v2"
economic_activity,avg_rad_sum.*.tif$,nighttime_lights,raster,2016,2026,annual composite,1,,Economic activity. Average nighttime light radiance (trailing 10-year window),NOAA VIIRS (VCMSLCFG monthly)
economic_change,linfit.tif$,nighttime_lights_trend,raster,2016,2026,linear trend,1,,Change in economic activity. Rate of change in nighttime radiance (trailing 10-year window),NOAA VIIRS (VCMSLCFG monthly)
wsf,wsf-edit.tif$,urban_expansion_1985_2015,raster,1985,2015,year of change,1,,Year of urban expansion,DLR World Settlement Footprint Evolution (Landsat 5/7)
wsf_tracker,wsf_tracker.tif$,urban_expansion_2016_2025,raster,2016,2025,year of change,1,,Year of urban expansion,DLR World Settlement Footprint Tracker (Sentinel-2)
wsf_harmonized,wsf_harmonized.tif$,urban_expansion_harmonized,raster,1985,2025,year of change,1,,"Year of urban expansion. Harmonized from WSF Evolution and Tracker by mode-resampling the Tracker to Evolution resolution, masking Evolution to the Tracker 2016 overlap, and proximity-based backdating of non-overlapping Tracker 2016 cells to their nearest Evolution year",DLR World Settlement Footprint Evolution & Tracker
ghs_builtup,built_over_time.tif$,builtup_area,raster,1980,2020,year of change,1,,Built-up area. Year of urban expansion,GHSL (GHS-BUILT-S R2023A)
builtup_projected,built_2030-edit.tif$,builtup_projected,raster,2025,2030,year of change,1,,Projected urban expansion,GHSL (GHS-BUILT-S R2023A)
land_cover,lc.tif$,land_cover,raster,2020,2020,annual,1,,Land cover,ESA WorldCover (Copernicus Sentinel)
intersections,intersection-density.tif$,intersection_density,raster,,,,1,,Intersection density. Number of intersections per 1 km²,OpenStreetMap
school_zones,schools-journeys,school_travel_distance,raster,,,,1,,Travel distance to nearest school. Distance along the road network in meters,OpenStreetMap; DLR (2015)
school_points,school-points,school_points,vector,,,,,,"Schools. Kindergartens, schools, colleges, and universities",OpenStreetMap
health_zones,health-journeys,health_travel_distance,raster,,,,1,,Travel distance to nearest health facility. Distance along the road network,OpenStreetMap; DLR (2015)
health_points,health-points,health_points,vector,,,,,,Health facilities,OpenStreetMap
solar,solar(?!.*monthly).tif$,solar_pv_potential,raster,,,long-term average,1,,Photovoltaic potential. Power potential of a theoretical 1 kWp PV system (kWh). Assumes an optimum PV tilt angle and 100% availability,Global Solar Atlas 2.0 (Solargis / World Bank / ESMAP)
solar_monthly,solar_monthly.tif$,solar_pv_potential_monthly,raster,,,monthly bands,12,Jan … Dec,Photovoltaic potential by month (kWh per 1 kWp system),Global Solar Atlas 2.0 (Solargis / World Bank / ESMAP)
air_quality,air_quality_pm2_5.tif$,air_quality_pm25,raster,2013,2022,annual bands + 10-year trend,28,"mean_1998_2022, mean_2013_2022, trend_2013_2022, annual means 1998–2022","Concentrations of PM2.5 particles. Micrograms per cubic meter (µg/m³), near-surface: annual means and a 10-year linear-fit trend (see bands)","Hammer et al. (2022), Global Annual PM2.5 Grids"
summer_lst,summer.*edit.tif$,summer_surface_temperature,raster,2013,2025,seasonal mean,1,,Summer surface temperature. Mean temperature (°C),USGS Landsat Level 2 Surface Temperature
lst_winter,lst_winter.tif$,winter_surface_temperature,raster,2013,2025,seasonal mean,1,,Winter surface temperature. Mean temperature (°C),USGS Landsat Level 2 Surface Temperature
vegetation,ndvi_season.*.tif$,vegetation_ndvi,raster,2013,2025,seasonal composite,1,,"Vegetated areas. Normalized difference vegetation index (NDVI). NDVI does not account for the proximity, spatial arrangement, vertical dimension, or density of green urban buildup",USGS Landsat
forest,forest_cover.*.tif$,forest_cover,raster,2023,2023,annual,1,,Forest cover in 2023. Trees are defined as vegetation taller than 5 meters,Hansen/UMD/Google/USGS/NASA Global Forest Change 2024 (v1.12)
deforest,deforestation-edit.tif$,deforestation,raster,2001,2024,year of change,1,,Deforestation. Year of forest loss; trees are defined as vegetation taller than 5 meters,Hansen/UMD/Google/USGS/NASA Global Forest Change 2024 (v1.12)
infrastructure,infrastructure.gpkg$,infrastructure,vector,,,,,,Infrastructure and services,OpenStreetMap
fluvial,fluvial_2020.tif$,fluvial_flood,raster,2020,2020,return period,4,"max_probability, r10, r100, r1000",Fluvial (river) flood return period. Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment,Fathom
fluvial_2050_ssp1,fluvial_2050_ssp1.tif$,fluvial_flood_2050_ssp1,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2050 (SSP1-2.6). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
fluvial_2050_ssp2,fluvial_2050_ssp2.tif$,fluvial_flood_2050_ssp2,raster,2050,2050,return period,4,"max_probability, r10, r100, r1000","Fluvial (river) flood return period, 2050 (SSP2-4.5). Minimum return period of a flood event within a 3-arc-second area. Intended for high-level understanding; follow with a local flood assessment",Fathom
